scaffold32_cov581	16S	100.000	1399	0	0	1	1399	1532	134	0.0	2584
scaffold32_cov581	16S	99.929	1399	1	0	1	1399	8	1406	0.0	2579
scaffold32_cov581	16S	99.929	1399	1	0	1	1399	8	1406	0.0	2579
scaffold32_cov581	16S	99.929	1399	1	0	1	1399	8	1406	0.0	2579
scaffold35_cov581	23S	100.000	1535	0	0	281	1815	1	1535	0.0	2835
scaffold35_cov581	23S	100.000	1535	0	0	281	1815	1	1535	0.0	2835
scaffold35_cov581	23S	100.000	1535	0	0	281	1815	1	1535	0.0	2835
scaffold35_cov581	23S	100.000	1535	0	0	281	1815	2887	1353	0.0	2835
scaffold35_cov581	5S	100.000	99	0	0	1	99	18	116	1.37e-48	183
scaffold35_cov581	5S	100.000	99	0	0	1	99	18	116	1.37e-48	183
scaffold35_cov581	5S	100.000	99	0	0	1	99	99	1	1.37e-48	183
scaffold35_cov581	5S	98.990	99	1	0	1	99	18	116	6.40e-47	178
scaffold39_cov590	23S	100.000	1051	0	0	1	1051	1623	2673	0.0	1941
scaffold39_cov590	23S	100.000	1051	0	0	1	1051	1623	2673	0.0	1941
scaffold39_cov590	23S	100.000	1051	0	0	1	1051	1623	2673	0.0	1941
scaffold39_cov590	23S	100.000	1051	0	0	1	1051	1265	215	0.0	1941
scaffold50_cov640	23S	100.000	127	0	0	1	127	2761	2887	4.36e-65	235
scaffold50_cov640	23S	100.000	127	0	0	1	127	2761	2887	4.36e-65	235
scaffold50_cov640	23S	100.000	127	0	0	1	127	2761	2887	4.36e-65	235
scaffold50_cov640	23S	100.000	127	0	0	1	127	127	1	4.36e-65	235
